"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"FICTION","None","This 1937 mystery was written at the Old Cataract Hotel in Aswan","\"Death on the Nile\""
"VICE PRESIDENTS","None","He served FDR as Commerce Secretary, Agriculture Secretary, and Vice President","Henry Wallace"
"THE WESTERN HEMISPHERE","None","Made up of 1 large & many smaller islands, it's the most populous of Britain's remaining overseas territories","Bermuda"
"FAMOUS VOYAGES","None","Capt. Robert Fitzroy of this ship argued that its scientific discoveries supported the Bible","the Beagle"
"BEFORE THEY WERE SENATORS","None","Later a U.S. senator, in 1962 he made a famous 75,000-mile trip","John Glenn"
"CLASSIC MOVIE CHARACTERS","None","The parents of this 1942 film character are an unnamed mother & a father known as "the great prince of the forest"","Bambi"
"SHAKESPEARE","None","2 of the 4 Shakespeare plays in which ghosts appear on stage","(2 of) Hamlet, Julius Caesar, Macbeth, Richard III"
"TELEVISION & HISTORY","None","When "60 Minutes" premiered, this man was U.S. president","Lyndon B. Johnson (show premiered Sept. 24, 1968)"
"LITERARY TITLES","None","This 1954 book title refers to an impaled sow's head, an offering to the "beast"","Lord of the Flies"
"ANIMALS","None","The genus of this Asian animal is Ailuropoda, & its species name, appropriately, is melanoleuca","the giant panda"
"IN THE DICTIONARY","None","This 5-letter word can refer to one type of work by a composer, or to several works of different types","opera"
"THE METROPOLITAN MUSEUM OF ART","None","64 paintings from the Met's founding purchase are still in its collection; over 1/3 of them are from this current European nation","the Netherlands"
"WORD AND PHRASE ORIGINS","None","Meaning "rapidly", this term began in England, referring to the speed with which the mail was delivered","post haste"
"SPORTS NAME ORIGINS","None","This racket sport takes its name from the country home of the 19th century Duke of Beaufort","Badminton"
"GAMBLING","None","Next to slots, Nevada casinos make more money from this game than any other, nearly $3/4 billion in 1985","blackjack"
"20th CENTURY VICE PRESIDENTS","None","The only VP to become president not immediately after his vice presidential term","Richard Nixon"
"FAMOUS TEENAGERS","None","This young man who turned 18 on June 21, 2000 has a dog named Widgeon & a younger brother named Harry","Prince William"
"WORLD CAPITALS","None","Started in 1988 for this city's 75th anniversary, a Springtime Flower Festival in September shows off its Commonwealth Park","Canberra, Australia"
"FAMOUS NAMES","None","A grandson of Man O' War, he defeated his uncle in a famous matchup November 1, 1938","Seabiscuit"
"LITERATURE OF THE 1800s","None","This character said, "I will live in the past, the present, and the future.  The spirits of all three shall strive within me"","Ebenezer Scrooge"
"CIVIL WAR PEOPLE","None","He was the only person who died during the Civil War to be featured on Confederate currency","Stonewall Jackson"
"FAMOUS NAMES","None","Once a top spy, he invented the mug shot seen on reward posters in the Wild West","Allan Pinkerton"
"SCIENTISTS","None",""American Prometheus" is a biography of this physicist who died in 1967","J. Robert Oppenheimer"
"SCIENTISTS","None","In 2007 this 1962 American Nobel laureate became the first person to receive his own personal genome map","James Watson"
"U.S. POLITICS","None","Since 1960, only Massachusetts & this state have produced more than one of the 10 Democratic presidential nominees","Minnesota (Hubert Humphrey & Walter Mondale)"
"ARLINGTON'S TOMB OF UNKNOWNS","None","Sentinels at the tomb walk exactly this many steps at a time before they stop & turn","21"
"BOOK TITLES","None",""I am the rose of Sharon" & "When you know your name, you should hang on to it" are from 2 different books titled this","Song of Solomon"
"HISTORIC ENGLISHMEN","None","Ironically, he might have saved himself from death in 1779 if he had known how to swim","Captain Cook"
"SHAKESPEAREAN TRAGEDY CHARACTERS","None","To the consternation of the title character, we learn that this character was born by C-section","Macduff"
"20th CENTURY NOTABLES","None","Einstein said of him, "Generations to come will scarcely believe" one such as he "walked the Earth in flesh & blood"","Mohandas Gandhi"
"WORLD LEADERS","None","Shortly after he received the 1990 Nobel Peace Prize, his country ceased to exist","Mikhail Gorbachev"
"COUNTRIES' HIGHEST PEAKS","None","These 2 nations, one an island, have highest peaks with the same name; they also share a common European culture","Greece & Cyprus"
"ODD TITLES","None","Gilbert & Sullivan's "Mikado", not Milne, gave us this hyphenated title for a pompous functionary","grand poo-bah"
"PRISONS","None","Nazi Rudolf Hess in 1941 & the notorious Kray twins in 1952 were among the last people briefly held here","the Tower of London"
"RIVERS","None","It was once believed that this river "originated in the Mountains of the Moon"","the Nile"
"COMPOSERS","None","In 1928, the 100th anniversary of his death, a $10,000 prize was offered for the completion of his 8th Symphony","(Franz) Schubert"
"20th CENTURY U.S. PRESIDENTS","None","This president shares his middle name with the name of a 1st C. Jewish theologian mentioned in the New Testament","Warren Gamaliel Harding"
"ALL GOD'S CREATURES","None","Edison proposed a flying machine based on the flight of this creature, also the subject of a musical work","bumblebee"
"1950s ACHIEVEMENTS","None","On Nov. 20, 1953, in a Douglas D-558-2, Scott Crossfield reached this benchmark","Traveling twice the speed of sound"
"IN THE BOOKSTORE","None","Bestselling author seen here (she's holding a large "A" & a large "Z")","Sue Grafton"
"SHAKESPEAREAN TITLE CHARACTERS","None","He is introduced as "The triple pillar of the world transformed into a strumpet's fool"","Marc Antony"
"THE WORLD OF ART","None","It's the room where you'll find the masterpiece that includes "The Flood" & "The Creation of Eve"","the Sistine Chapel"
"FOOD ETYMOLOGY","None","Keith Downey developed rapeseed into this cooking product, now a huge cash crop for farmers in Saskatchewan","canola"
"WORLD LEADERS","None","Born in Kiev & later a U.S. citizen, this leader became prime minister in 1969 of a country founded in the 20th century","Golda Meir"
"BRAND NAMES","None","Formulated in 1953, its first purpose was "water displacement" to prevent corrosion on missiles","WD-40"
"AUTHORS","None","Sherwood Anderson told him, write about what "you know... that little patch... in Mississippi where you started from"","William Faulkner"
"THE 50 STATES","None","An 1881 resolution established that this state's name was to be spelled one way but pronounced another","Arkansas"
"THE PRESIDENCY","None","In 1998, the highest-ranking person in the line of presidential succession who could not legally be president","Madeleine Albright (Secretary of State)"
"WORLD CITIES","None","In May 1998 this metropolis of 7 million voted to start electing its mayor for the first time","London"
"19TH CENTURY FICTION","None","The 1853 novel "Clotel, or The President's Daughter" alleges that this man had an affair with a slave","Thomas Jefferson"
"BIOLOGY","None","Of the 4, blood group of the universal recipient","AB"
"SISTER CITIES","None","San Francisco, California is a sister city to this one in Italy","Assisi (named after St. Francis of Assisi)"
"20th CENTURY NOVELS","None","Ironically, this 1953 science fiction book began appearing in a censored version in 1967","Fahrenheit 451"
"AFRICAN AMERICANS","None","In 1978 she became the first black woman honored on a U.S. postage stamp","Harriet Tubman"
"TV CHARACTERS","None","Dozens of web sites are devoted to picking on this Sheryl Leach creation who only gives love","Barney"
"SAINTHOOD","None","In 2009 this man who died on Molokai in 1889 became Hawaii's first saint","Father Damien"
"AMERICAN LITERATURE","None","A contemporary review of this 1851 novel said, "Who would have looked for... poetry in blubber?"","Moby-Dick"
"U.S. RIVERS","None","The name of this river, famous in song, may be a corruption of the Spanish for "little Saint John"","the Swanee"
"NAMES IN THE NEWS","None","This former U.N. ambassador is a co-chairman of the host city's committee for the 1996 Olympic Games","Andrew Young"
"EXPLORERS","None","In 1616, after Hudson died, this man became the 1st European to reach Ellesmere Island; an island & bay are named for him","(William) Baffin"
"TELEVISION HISTORY","None","In the late '60s this character was created to show children it's okay to be grumpy","Oscar the Grouch (from \"Sesame Street\")"
"FAMOUS PEOPLE","None","In 2001, she produced & hosted the Travel Channel's "Secrets of San Simeon"","Patty Hearst"
"FIRST NAMES","None","Once considered too sacred to use, it was later the top girl's name from 1880 to the 1940s","Mary"
"THE PARTS OF SPEECH","None","Of the traditional 8 parts of speech, it's the only one that doesn't end in the same 4 letters as 1 of the other parts of speech","adjective"
"THE FUNNIES","None","Debuting November 18, 1985, the caption in its first box was "So long, Pop!  I'm off to check my tiger trap!"","Calvin and Hobbes"
"FAMOUS FELINES","None","He made his debut in the 1945 short film "Life with Feathers"","Sylvester"
"WORD ORIGINS","None","The name of this dialect comes from a Hindi word, mantri, meaning "counselor"","Mandarin"
"AMERICAN POLITICIANS","None","Frank Sinatra came out of retirement to sing their praises: "they're both unique... the Quaker & the Greek"","Richard Nixon & Spiro Agnew"
"INTERNATIONAL LANDMARKS","None","Its roof has been variously described as sails, clam shells & a huddle of nuns in a high wind","the Sydney Opera House"
"PEOPLE","None","He made the cover of Life magazine 3 times in February & March of 1962, & again in October 1998","John Glenn"
"20th CENTURY THEATER","None","This play ends with 1 character asking, "Well?  Shall we go?"; the other replies, "Yes, let's go", but they do not move","Waiting for Godot"
"U.S. PRESIDENTS","None","He's the only U.S. president who never lived in the District of Columbia","George Washington"
"AMERICAN AUTHORS","None","His bestselling first novel, published in 1846, was set in Polynesia","Herman Melville (\"Typee\")"
"SOUTH AMERICA","None","These are the only 2 independent countries in South America named for a famous person","Colombia & Bolivia"
"BATTLES","None","Napoleon's plans to invade England were dashed by this October 21, 1805 battle","Battle of Trafalgar"
"SOUTH AMERICA","None","One of 2 landlocked countries in South America","(1 of 2) Bolivia or Paraguay"
"WORD ORIGINS","None","Today meaning a self-employed person, this term derives from medieval knights who sold their skills","Freelancer"
"FAMOUS OBJECTS","None","Shah Jahan, Ranjit Singh & Queen Victoria all possessed a famous one whose name means "mountain of light"","a diamond"
"RULERS IN HISTORY","None","Born in 1672 & named for a saint, in 1703 he founded a city whose name represents both of them","Peter the Great"
"AWARDS & HONORS","None","A trophy named for this author is awarded to anyone who breaks the record for sailing a yacht around the world","Jules Verne"
"TRANSPORTATION","None","On December 11, 1967 it was removed from the British registry & turned over to the city of Long Beach, California","the Queen Mary"
"STRUCTURES","None","When completed, it stretched for 73 1/2 miles from Bowness to Wallsend","Hadrian's Wall"
"THE SPACE RACE","None","Sputnik was the Soviet's 1st satellite, while this was ours","Explorer"
"AWARD-WINNING AUTHORS","None","The only Oscar winner also to win a Nobel Prize, this European won a 1938 Oscar for adapting his own play","George Bernard Shaw"
"THE BIBLE","None","The first verse of this book says, "There was a man in the land of Uz that feared God and eschewed evil"","Job"
"THE BILLBOARD HOT 100","None","A song by this artist hit No. 1 in 1999, making her at age 52 the oldest female to have a Billboard No. 1 single","Cher"
"ORGANIZATIONS","None","The C.A.P., or Common Agricultural Policy, accounts for almost half the budget of this 25-nation organization","the European Union"
"MACBETH","None","Macbeth says to this character, "Thy bones are marrowless, thy blood is cold"","Banquo's ghost"
"NOTORIOUS","None","Oscar Collazo, serving a life sentence for his assassination attempt on this president, was released in 1979","Harry Truman"
"AUTHORS","None","In September 1941 this author christened the warship Atlanta, also known as "The Mighty A"","Margaret Mitchell"
"HALLOWEEN ON FILM","None","(<a href="http://www.j-archive.com/media/1998-10-30_FJ.jpg" target="_blank">Happy Halloween, I'm Janet Leigh.</a>)  In a 1953 film my then husband played this man, who died on Halloween in 1926; I played his wife Bess","Harry Houdini"
"FICTIONAL CHARACTERS","None","He first appeared in Kipling's 1892 story "In the Rukh" as an adult who now & then refers to his very odd childhood","Mowgli"
"BRITISH NOVEL CHARACTERS","None","W.E. Henley, the amputee who wrote the brave poem "Invictus", inspired this character in an 1883 book","Long John Silver"
"THE OLD TESTAMENT","None","In the Book of Job, this name means "accuser", & that was his role in God's court","Satan"
"MUSICAL THEATER","None","In Act II of this musical, an election victory is announced "on the balcony of the Casa Rosada"","Evita"
"CHILDREN'S AUTHORS","None","In 1896 he said his mother had lost her childhood at 8; he "knew a time would come when I also must give up the games"","J.M. Barrie"
"AMERICAN LITERATURE","None","An epigraph he used on one story says, "our hearts though stout and brave, still, like muffled drums are beating"","Edgar Allan Poe"
"ON THE CALENDAR","None","In 1974, to save energy, it began in January instead of April & ended on October 27","Daylight saving time"
"FAMOUS WEDDINGS","None","In 1998 a 61-year-old piece of this couple's wedding cake sold for $26,000 at Sotheby's","The Duke of Windsor (former King Edward VIII) & Wallis Simpson"
"WORLD HISTORY","None","City that was the seat of government of the viceroyalty of New Spain","Mexico City"
"THE TONY AWARDS","None","(Hi, I'm Brian Dennehy)  This man won a Tony for writing the Best Play of 1949 and I had the honor of presenting him with a Lifetime Achievement Tony in 1999","Arthur Miller (wrote \"Death of a Salesman\")"
"ANIMALS","None","What the Germans call a Bambusbar, we generally call this","a panda bear"
"FAMOUS TEACHERS","None","In 1967 this former teacher published a memoir entitled "Center of the Storm"","John Scopes (famous Scopes Trial)"
"20th CENTURY AMERICANS","None","He was alive for the Wright Brothers' historic flight & was John Glenn's Senate colleague when Glenn returned to space","Strom Thurmond"
"CONTEMPORARY BRITISH AUTHORS","None","In May 1973 Sports Illustrated ran one of his short stories under the title "A Day of Wine and Roses"","Dick Francis"
"COUNTRIES OF THE WORLD","None","The world's most populous democracy","India"
"AMERICAN WOMEN","None","She gave herself the third-person name "Phantom", the "no-person" she was from 19 months until she was almost 7","Helen Keller"
"BEATLES MUSIC","None","Chauffeur Alf Bicknell was the inspiration for this 1965 song","\"Drive My Car\""
"BIOGRAPHERS","None","As many mourned, this minister wrote in a letter, "Washington is gone!  Millions are gasping to read ...about him"","Parson Weems"
"CONSUMER PRODUCTS","None","This product was reintroduced in 1906 with trimethylxanthine as the sole remaining stimulant","Coca-Cola"
"U.S. PRESIDENTS","None","President elected to 2nd term with 523 electoral votes, the greatest number in any election","Franklin D. Roosevelt"
"U.S. CITIES","None","Of the top 10 cities in population within city limits, this one of 1.4 million is the only state capital","Phoenix, Arizona"
"NOTORIOUS","None","Using the aliases James Ryan & Harry Place, they boarded a steamer for Argentina in February 1901","Butch Cassidy & The Sundance Kid"
"ENGLISH LITERATURE","None","The 5th edition of this work, published in 1676, included a section on fly fishing by Charles Cotton","The Compleat Angler (by Izaak Walton)"
"CHARACTERS IN BOOKS","None","This character says, "It's Christmas Day!  I haven't missed it.  The Spirits have done it all in one night"","Ebenezer Scrooge"
"FATHERS & SONS","None","The island where this man's son washed ashore was later named Ikaria","Daedalus"
"AMERICAN FICTION WRITERS","None","He was also the U.S.'s best-paid sportswriter, with stories of people like Chicago O'Brien & Jack the Bookie","Damon Runyon"
"RENAISSANCE LITERATURE","None","This book begins, "All states and dominions which hold or have held mankind are either republics or monarchies"","\"The Prince\" (by Machiavelli)"
"WORLD EVENTS","None","The 3 people who did this most recently were Midori Ito, Muhammad Ali & Crown Prince Haakon of Norway","Lighting the Olympic flame at the Olympic Games"
"U.S. PRESIDENTS","None","A Civil War general, he was the last man to go directly from the House of Representatives to the presidency","James A. Garfield"
"NATIONAL ANTHEMS","None",""Land Of Two Rivers" is the anthem of this country whose history goes back thousands of years","Iraq"
"FOREIGN CURRENCY","None","This currency of Costa Rica gets its name from the first European to see the nation","the Colon"
"TRANSPORTATION INNOVATIONS","None","This type of program that began in 1981 was inspired by Green Stamps","Frequent flyer program"
"NAME THE POET","None",""The spirit who bideth by himself / in the land of mist and snow / he loved the bird that loved the man / who shot him with his bow"","(Samuel Taylor) Coleridge"
"THE NOBEL PRIZE","None","The 1996 Chemistry Prize went to the discoverers of a 60-carbon atom molecule called this","Buckyball"
"AUTHORS","None","He claimed that as a Pinkerton detective, he had worked the Fatty Arbuckle & Nicky Arnstein cases","Dashiell Hammett"
"MOVIE DIRECTORS","None","He's the only person to direct his daughter & his father in Oscar-winning performances","John Huston"
"THE ELEMENTS","None","Once called radium F, this element was named for the homeland of one of its discoverers","polonium"
"ROYALTY","None","Since 1066, the only British monarch to have 3 children ascend to the British throne","Henry VIII"
"MAJOR LEAGUE BASEBALL","None","The team names of these 2 expansion clubs start with the same 3 letters; one might catch the other","the Seattle Mariners & the Florida Marlins"
"19th CENTURY NOVELISTS","None","William Wilkinson's "An Account of the Principalities of Wallachia and Moldavia" inspired this author's most famous novel","Bram Stoker"
"EXPLORATION","None","He wrote in his diary, "The loss of pony transport in March 1911 obliged me to start later than I had intended"","Robert Falcon Scott"
"FINANCE HISTORY","None","In the 19th c., selling stock you didn't yet own, hoping it would fall, was called selling this animal's skin","a bear"
"THE BOOK TRADE","None","According to USA Today, they're the 2 nonconsecutive months that see the highest cookbook sales","May & December"
"NOTABLE NAMES","None","His last direct descendant was a granddaughter, Elizabeth Hall, born to John & Susanna Hall in 1608","William Shakespeare"
"19th CENTURY MUSIC","None","Lyrics to an 1868 tune by this man began, "Guten Abend, Gut Nacht, Mit Rosen Bedacht"","Johannes Brahms"
"ROSE BOWL HISTORY","None","The only time the game wasn't held in Calif. was 1942, when it was in N.C., amidst fears of another event like this one","Pearl Harbor"
"ACTORS","None","He never won an Oscar, but this 1960s movie star got a patent for a low-slung bucket seat for race cars","Steve McQueen"
"WORLD LEADERS","None","On Dec. 25, 1991, he ended his farewell speech by saying, "I wish everyone all the best"","Mikhail Gorbachev"
"FAMOUS WOMEN","None","In 1997, in honor of her 90th birthday, she was made honorary First Lady of Old Saybrook, Connecticut","Katharine Hepburn"
"20th CENTURY FIRSTS","None","On Oct. 14, 1947 in the Mojave Desert the first of these sounds was made by man; it was the byproduct of another first","sonic boom"
"1980s BUSINESS","None","In his job since 1984, this man has been called "the Prince who awakened Sleeping Beauty"","Michael Eisner"
"U.S. PRESIDENTS","None","He is the only president of the United States to be awarded the Purple Heart","John F. Kennedy"
"ITALIAN INVENTORS","None","In 1910 his new invention helped Scotland Yard catch a murderer escaping to North America across the Atlantic","Marconi"
"AMERICANA","None","Originally beardless, Uncle Sam got  his chin whiskers from images depicting this real-life man","Abraham Lincoln"
"1999 ANNIVERSARIES","None","A traveling exhibit honoring the 200th anniversary of his death features his false teeth","George Washington"
"ARBOREAL MAMMALS","None","Of the genus Phascolarctos, it's 23-33" tall with a stout gray or brown body, a big round nose & strong claws","a koala"
"OLYMPIC CITIES","None","Of all the cities to host the modern Olympic Games, this one lies closest to the equator","Mexico City"
"WORLD CITIES","None","Capital of the ancient Roman province of Galatia, it became a modern national capital in 1923","Ankara"
"HISTORIC PEOPLE","None","After his 1955 death, his papers were given to Jerusalem's Hebrew Univ. & his violin was left to his grandson","Albert Einstein"
"THE CABINET","None","This department contains the Federal Emergency Management Agency, the Secret Service & the Coast Guard","Department of Homeland Security"
"ARTISTS","None","In 1881 he wrote to Emile Zola, "I must soon leave Vetheuil, and I am looking for a pretty place by the Seine"","Claude Monet"
"ORGANIZATIONS","None",""Climb the mountains and get their good tidings" was a goal of this group at its 19th century founding","Sierra Club"
"BURIED AT ARLINGTON","None","His grave notes his 1842 West Point graduation, his time at Ft. Sumter, Gettysburg & 2nd Bull Run, but does not mention sports","Abner Doubleday"
"WORD ORIGINS","None","This word meaning "complete range" comes from the 3rd Greek letter, which used to be the low end of the musical scale","gamut"
"LANDMARKS","None","Located SE of Charlottesville, Virginia, it has 3 stories, an octagonal dome & 33 rooms of varying shapes","Monticello"
"THE WESTERN HEMISPHERE","None","Written in 1904, "Himno Istmeno" is the national anthem of this country that won its independence a year earlier","Panama"
"THE 50 STATES","None","It was the only state physically & politically formed directly because of the Civil War","West Virginia"
"WORD ORIGINS","None","This type of establishment gets its name from the Latin for "to restore"","a restaurant"
"RANKS & TITLES","None","Queen Victoria & Indira Gandhi each held this title, though only one was official","Empress of India"
"FROM MOVIE TO MUSICAL","None","A play-within-a-play, called "Pretty Lady", suddenly needs a new leading lady in this ever-popular musical","42nd Street"
"AMERICAN LITERATURE","None","This 1906 novel says, "Now & then a visitor wept, to be sure; but this slaughtering machine ran on, visitors or no..."","The Jungle"
"20th CENTURY LEADERS","None","In 1914 Jan Smuts wrote of this man's departure, "The saint has left our shores, I hope forever"","Mahatma Gandhi"
"THE EARTH","None","On the line of latitude known as this, the sun doesn't rise on the winter solstice or set on the summer","Arctic Circle (or for people in the Southern Hemisphere, the Antarctic Circle)"
"SCULPTURE","None","Standing on the banks of the Concord River, it's also known as the "Statue of the Embattled Farmer"","the Minuteman Statue (by Daniel Chester French)"
"THE SUPREME COURT","None","The 1973 case Doe v. Bolton was decided with this more famous case","Roe v. Wade"
"THE 20th CENTURY","None","In 1916, his assassins included a prince and a grand duke","Rasputin"
"BANDS","None","This band's last surviving brother lives & records in St. Charles, Illinois, far from the ocean","The Beach Boys"
"CLASSIC AMERICAN SONGS","None","The introductory verse to this 1908 song begins, "Katie Casey was baseball mad"","\"Take Me Out To The Ball Game\""
"1940s MUSIC HISTORY","None","While writing for Billboard, legendary producer Jerry Wexler coined this phrase to replace "race music"","rhythm & blues"
"ACTOR-DIRECTORS","None","This 1990 winner is the most recent to win the Best Director Oscar for his directorial debut","Kevin Costner"
"GEOGRAPHIC NAMES","None","For 200 years, much of this large current country was known as "Rupert's Land", in honor of a cousin of Charles II","Canada"
"THE MOVIES","None","The title of this award-winning 1963 film refers to the number of films its director felt he had made to that point","8½"
"CHILD'S PLAY","None","A Longfellow poem & a Lillian Hellman play about a girls' boarding school share this timely title","The Children's Hour"
"CHILDREN'S LITERATURE","None","In the original 1883 work, this title character kills a talking cricket, has his feet burned off & nearly starves","Pinocchio"
"EMMY WINNERS","None","These 2 men with 16 total career Emmys appeared in series with Mary Tyler Moore, one playing a TV host, one a TV producer","Ed Asner & Carl Reiner"
"FICTIONAL CHILDREN","None","This boy introduced in a 1902 book flew away from his mother when he was 7 days old","Peter Pan"
"NAMES IN THE BIBLE","None","Daniel means "God is my judge", Ezekiel, "God strengthens"; & this name in Genesis 32, "he strives with God"","Israel"
"20th CENTURY ATHLETES","None","In 1938, at age 25, she became the youngest person made a Knight First Class of the Order of St. Olav","Sonja Henie"
"U.S. LANDMARKS","None","James Hoban, who designed & built this, had to rebuild it after a fire in 1814","the White House"
"BIOGRAPHIES","None","Carl Sandburg co-wrote a 1932 biography of this woman, "Wife and Widow"","Mary Todd Lincoln"
"ARCHAEOLOGY","None","In 1997 aerial surveys found the Pleasure Dome he built in the 13th century","Kublai Khan"
"POTENT POTABLES","None","Named for the club where it was first made, this drink was created to honor Samuel Tilden's election as governor","Manhattan"
"2004","None","On Monday, December 13, 3 people designated these will meet in Cheyenne, Wyoming to help decide the world's future","electors"
"STATE CAPITALS","None","Located in the Central Time Zone, it's the largest city by population to have no MLB, NFL, NBA or NHL team","Austin, Texas"
"PLAYWRIGHTS","None","In 2005 Broadway's Virginia Theatre was renamed to honor this late author, the first African-American so honored","August Wilson"
"TELEVISION","None","In Apple's I-Movie program, the effect seen here that's done with photos is named for this TV filmmaker","Ken Burns"
"REPUBLICANS","None","2 of the 3 Republicans elected vice president twice","Spiro Agnew, George (H.W.) Bush & Richard Nixon"
"HOBBIES","None","This word comes from the Greek words for "light" & "writing"","photography"
"RECENT INNOVATIONS","None","Known by a 3-letter abbrev., it was first proposed in 1989 by software developer Tim Berners-Lee","World Wide Web (www)"
"CLASSICAL COMPOSERS","None","The first movement of his 1868 first symphony is subtitled "Dreams of a Winter Journey"","Pyotr Ilyich Tchaikovsky"
"THE STOCK MARKET","None","In 2006 this Milwaukee-based co. announced its new stock symbol, "HOG", at a gathering in Sturgis, S.D.","Harley-Davidson"
"SPACE EXPLORATION","None","In October 1998 this man went into space as the oldest U.S. astronaut ever","John Glenn"
"SPORTS PHRASE ORIGINS","None","In 1939 an Illinois sports official wrote "A little" of this alliterative phrase may "contribute to sanity"","March Madness"
"WORLD GEOGRAPHY","None","Of the 4 largest Asian countries in area, it's the only one that borders the other 3","China"
"THEATRICAL PREMIERES","None","The "Playboy Riots" took place in this world capital in 1907 following a theatrical premiere","Dublin"
"LITERARY OBJECTS","None","In literature from the 1200s to today, it has been depicted as a type of dish, a talismanic stone & a woman","the Holy Grail"
"MONARCHS","None","In 2001 Bulgaria elected as prime minister its former child monarch, the only person now living to have held this royal title","czar"
"U.S. STATES","None","With over 35,000 miles, this state has the longest highway system in the U.S.","Texas"
"TECHNOLOGY","None","In 1933 Marconi set up one of the first microwave radio systems, between Castel Gandolfo & this sovereign state","Vatican City"
"POLITICAL PARTIES","None","In 1850 it was the name of the party of the British prime minister & of the U.S. president","the Whig Party"
"20th CENTURY LEADERS","None","At age 13 in 1926, he was accepted as a novice at the abbey of Kykkos; he later taught there","Archbishop Makarios"
"CONTROVERSIAL FOOD & DRINK","None","Pope Clement VIII said of this beverage around 1600, "We shall cheat Satan" by baptizing it as a Christian beverage","Coffee"
